title,text,label
"Noticia falsa","El gobierno ha prohibido el uso de internet",0
"Noticia verdadera","Se ha descubierto una nueva vacuna contra el virus",1
"Noticia falsa","Los extraterrestres han invadido la Tierra",0
"Noticia verdadera","El equipo local ganó el campeonato",1
"Noticia falsa","El sol se apagará mañana",0
"Noticia verdadera","Se ha descubierto agua en Marte",1
"Noticia falsa","Los robots dominarán el mundo",0
"Noticia verdadera","Se ha reducido la contaminación global",1
"Noticia falsa","Un hombre afirma haber viajado en el tiempo y predice el fin del mundo",0
"Noticia verdadera","Científicos desarrollan un nuevo tratamiento para el cáncer",1
"Noticia falsa","El chocolate cura todas las enfermedades",0
"Noticia verdadera","La ONU anuncia un acuerdo global para reducir las emisiones de carbono",1
"Noticia falsa","Los teléfonos móviles causan explosiones espontáneas",0
"Noticia verdadera","Se inaugura el puente más largo del mundo en China",1
"Noticia falsa","Una ciudad entera desaparece misteriosamente durante la noche",0
"Noticia verdadera","El telescopio James Webb captura imágenes inéditas del universo",1
"Noticia falsa","Beber agua con limón todos los días garantiza la inmortalidad",0
"Noticia verdadera","Un nuevo estudio revela los beneficios del ejercicio regular para la salud mental",1
"Noticia falsa","Los dinosaurios han sido clonados y están vivos en una isla secreta",0
"Noticia verdadera","La NASA anuncia una misión tripulada a Marte para el año 2030",1
"Noticia falsa","Comer ajo crudo te hace invisible por 24 horas",0
"Noticia verdadera","Descubren un nuevo tipo de partícula subatómica en el CERN",1
"Noticia falsa","El océano Atlántico se está evaporando rápidamente",0
"Noticia verdadera","Se establece un récord mundial en la maratón de Berlín",1
"Noticia falsa","Los gatos pueden hablar pero eligen no hacerlo",0
"Noticia verdadera","Un nuevo informe destaca el impacto positivo de la energía solar en comunidades rurales",1
"Noticia falsa","El café provoca que las personas desarrollen superpoderes",0
"Noticia verdadera","Se lanza un programa global para erradicar la pobreza extrema",1
"Noticia falsa","Los árboles están comenzando a caminar para encontrar mejores condiciones climáticas",0
"Noticia verdadera","Un estudio demuestra que dormir 8 horas mejora la productividad",1
"Noticia falsa","El agua embotellada contiene microchips para controlar a la población",0
"Noticia verdadera","Se descubre una nueva especie de rana en la selva amazónica",1
"Noticia falsa","Los relojes inteligentes pueden leer tus pensamientos",0
"Noticia verdadera","La educación en línea aumenta un 50% en los últimos 5 años",1
"Noticia falsa","Los espejos son portales a dimensiones paralelas",0
"Noticia verdadera","Un nuevo tratamiento para la diabetes muestra resultados prometedores",1
"Noticia falsa","Las pirámides de Egipto fueron construidas por extraterrestres",0
"Noticia verdadera","El reciclaje reduce significativamente la contaminación en ciudades",1
"Noticia falsa","Los humanos pueden vivir sin comida si meditan lo suficiente",0
"Noticia verdadera","Se lanza un satélite para monitorear el cambio climático",1
"Noticia falsa","El sol está hecho de queso",0
"Noticia verdadera","Un nuevo estudio revela los beneficios del yoga para la salud mental",1
"Noticia falsa","Los tiburones pueden volar durante tormentas eléctricas",0
"Noticia verdadera","La energía eólica se convierte en la principal fuente de electricidad en Europa",1
"Noticia falsa","Los relojes de arena pueden detener el tiempo si se usan correctamente",0
"Noticia verdadera","Un nuevo descubrimiento arqueológico revela detalles sobre civilizaciones antiguas",1
"Noticia falsa","Las plantas pueden comunicarse con los humanos si se les canta",0
"Noticia verdadera","Se desarrolla una vacuna universal contra la gripe",1
"Noticia falsa","Los volcanes son en realidad fábricas de chocolate",0
"Noticia verdadera","Un nuevo informe destaca el impacto positivo de la reforestación",1
"Noticia falsa","Los peces pueden caminar en tierra firme durante la noche",0
"Noticia verdadera","Se establece un récord mundial en la natación olímpica",1
"Noticia falsa","Los libros antiguos contienen hechizos mágicos que funcionan",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios de una dieta equilibrada",1
"Noticia falsa","Los aviones funcionan con magia y no con combustible",0
"Noticia verdadera","La inteligencia artificial ayuda a detectar enfermedades en etapas tempranas",1
"Noticia falsa","Los arcoíris son hologramas creados por el gobierno",0
"Noticia verdadera","Se lanza un programa para proteger especies en peligro de extinción",1
"Noticia falsa","Los relojes de pulsera pueden viajar en el tiempo",0
"Noticia verdadera","Un nuevo descubrimiento en física podría revolucionar la tecnología",1
"Noticia falsa","Los gatos son espías enviados por una civilización alienígena",0
"Noticia verdadera","Se desarrolla un nuevo método para desalinizar agua de mar",1
"Noticia falsa","Los árboles pueden moverse para evitar ser talados",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios del ejercicio para la salud cardiovascular",1
"Noticia falsa","Los espejos pueden atrapar almas humanas",0
"Noticia verdadera","Se lanza un programa global para reducir el desperdicio de alimentos",1
"Noticia falsa","Los relojes inteligentes pueden controlar tus sueños",0
"Noticia verdadera","Un nuevo tratamiento para el Alzheimer muestra resultados prometedores",1
"Noticia falsa","Los tiburones pueden volar durante tormentas eléctricas",0
"Noticia verdadera","La energía eólica se convierte en la principal fuente de electricidad en Europa",1
"Noticia falsa","Los relojes de arena pueden detener el tiempo si se usan correctamente",0
"Noticia verdadera","Un nuevo descubrimiento arqueológico revela detalles sobre civilizaciones antiguas",1
"Noticia falsa","Las plantas pueden comunicarse con los humanos si se les canta",0
"Noticia verdadera","Se desarrolla una vacuna universal contra la gripe",1
"Noticia falsa","Los volcanes son en realidad fábricas de chocolate",0
"Noticia verdadera","Un nuevo informe destaca el impacto positivo de la reforestación",1
"Noticia falsa","Los peces pueden caminar en tierra firme durante la noche",0
"Noticia verdadera","Se establece un récord mundial en la natación olímpica",1
"Noticia falsa","Los libros antiguos contienen hechizos mágicos que funcionan",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios de una dieta equilibrada",1
"Noticia falsa","Los aviones funcionan con magia y no con combustible",0
"Noticia verdadera","La inteligencia artificial ayuda a detectar enfermedades en etapas tempranas",1
"Noticia falsa","Los arcoíris son hologramas creados por el gobierno",0
"Noticia verdadera","Se lanza un programa para proteger especies en peligro de extinción",1
"Noticia falsa","Los relojes de pulsera pueden viajar en el tiempo",0
"Noticia verdadera","Un nuevo descubrimiento en física podría revolucionar la tecnología",1
"Noticia falsa","Los gatos son espías enviados por una civilización alienígena",0
"Noticia verdadera","Se desarrolla un nuevo método para desalinizar agua de mar",1
"Noticia falsa","Los árboles pueden moverse para evitar ser talados",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios del ejercicio para la salud cardiovascular",1
"Noticia falsa","Los espejos pueden atrapar almas humanas",0
"Noticia verdadera","Se lanza un programa global para reducir el desperdicio de alimentos",1
"Noticia falsa","Los relojes inteligentes pueden controlar tus sueños",0
"Noticia verdadera","Un nuevo tratamiento para el Alzheimer muestra resultados prometedores",1
"Noticia falsa","Los tiburones pueden volar durante tormentas eléctricas",0
"Noticia verdadera","La energía eólica se convierte en la principal fuente de electricidad en Europa",1
"Noticia falsa","Los relojes de arena pueden detener el tiempo si se usan correctamente",0
"Noticia verdadera","Un nuevo descubrimiento arqueológico revela detalles sobre civilizaciones antiguas",1
"Noticia falsa","Las plantas pueden comunicarse con los humanos si se les canta",0
"Noticia verdadera","Se desarrolla una vacuna universal contra la gripe",1
"Noticia falsa","Los volcanes son en realidad fábricas de chocolate",0
"Noticia verdadera","Un nuevo informe destaca el impacto positivo de la reforestación",1
"Noticia falsa","Los peces pueden caminar en tierra firme durante la noche",0
"Noticia verdadera","Se establece un récord mundial en la natación olímpica",1
"Noticia falsa","Los libros antiguos contienen hechizos mágicos que funcionan",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios de una dieta equilibrada",1
"Noticia falsa","Los aviones funcionan con magia y no con combustible",0
"Noticia verdadera","La inteligencia artificial ayuda a detectar enfermedades en etapas tempranas",1
"Noticia falsa","Los arcoíris son hologramas creados por el gobierno",0
"Noticia verdadera","Se lanza un programa para proteger especies en peligro de extinción",1
"Noticia falsa","Los relojes de pulsera pueden viajar en el tiempo",0
"Noticia verdadera","Un nuevo descubrimiento en física podría revolucionar la tecnología",1
"Noticia falsa","Los gatos son espías enviados por una civilización alienígena",0
"Noticia verdadera","Se desarrolla un nuevo método para desalinizar agua de mar",1
"Noticia falsa","Los árboles pueden moverse para evitar ser talados",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios del ejercicio para la salud cardiovascular",1
"Noticia falsa","Los espejos pueden atrapar almas humanas",0
"Noticia verdadera","Se lanza un programa global para reducir el desperdicio de alimentos",1
"Noticia falsa","Los relojes inteligentes pueden controlar tus sueños",0
"Noticia verdadera","Un nuevo tratamiento para el Alzheimer muestra resultados prometedores",1
"Noticia falsa","Los tiburones pueden volar durante tormentas eléctricas",0
"Noticia verdadera","La energía eólica se convierte en la principal fuente de electricidad en Europa",1
"Noticia falsa","Los relojes de arena pueden detener el tiempo si se usan correctamente",0
"Noticia verdadera","Un nuevo descubrimiento arqueológico revela detalles sobre civilizaciones antiguas",1
"Noticia falsa","Las plantas pueden comunicarse con los humanos si se les canta",0
"Noticia verdadera","Se desarrolla una vacuna universal contra la gripe",1
"Noticia falsa","Los volcanes son en realidad fábricas de chocolate",0
"Noticia verdadera","Un nuevo informe destaca el impacto positivo de la reforestación",1
"Noticia falsa","Los peces pueden caminar en tierra firme durante la noche",0
"Noticia verdadera","Se establece un récord mundial en la natación olímpica",1
"Noticia falsa","Los libros antiguos contienen hechizos mágicos que funcionan",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios de una dieta equilibrada",1
"Noticia falsa","Los aviones funcionan con magia y no con combustible",0
"Noticia verdadera","La inteligencia artificial ayuda a detectar enfermedades en etapas tempranas",1
"Noticia falsa","Los arcoíris son hologramas creados por el gobierno",0
"Noticia verdadera","Se lanza un programa para proteger especies en peligro de extinción",1
"Noticia falsa","Los relojes de pulsera pueden viajar en el tiempo",0
"Noticia verdadera","Un nuevo descubrimiento en física podría revolucionar la tecnología",1
"Noticia falsa","Los gatos son espías enviados por una civilización alienígena",0
"Noticia verdadera","Se desarrolla un nuevo método para desalinizar agua de mar",1
"Noticia falsa","Los árboles pueden moverse para evitar ser talados",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios del ejercicio para la salud cardiovascular",1
"Noticia falsa","Los espejos pueden atrapar almas humanas",0
"Noticia verdadera","Se lanza un programa global para reducir el desperdicio de alimentos",1
"Noticia falsa","Los relojes inteligentes pueden controlar tus sueños",0
"Noticia verdadera","Un nuevo tratamiento para el Alzheimer muestra resultados prometedores",1
"Noticia falsa","Los tiburones pueden volar durante tormentas eléctricas",0
"Noticia verdadera","La energía eólica se convierte en la principal fuente de electricidad en Europa",1
"Noticia falsa","Los relojes de arena pueden detener el tiempo si se usan correctamente",0
"Noticia verdadera","Un nuevo descubrimiento arqueológico revela detalles sobre civilizaciones antiguas",1
"Noticia falsa","Las plantas pueden comunicarse con los humanos si se les canta",0
"Noticia verdadera","Se desarrolla una vacuna universal contra la gripe",1
"Noticia falsa","Los volcanes son en realidad fábricas de chocolate",0
"Noticia verdadera","Un nuevo informe destaca el impacto positivo de la reforestación",1
"Noticia falsa","Los peces pueden caminar en tierra firme durante la noche",0
"Noticia verdadera","Se establece un récord mundial en la natación olímpica",1
"Noticia falsa","Los libros antiguos contienen hechizos mágicos que funcionan",0
"Noticia verdadera","Un nuevo estudio muestra los beneficios de una dieta equilibrada",1
"Noticia falsa","Los aviones funcionan con magia y no con combustible",0
"Noticia verdadera","La inteligencia artificial ayuda a detectar enfermedades en etapas tempranas",1
"Noticia falsa","Los arcoíris son hologramas creados por el gobierno",0
"Noticia verdadera","Se lanza un programa para proteger especies en peligro de extinción",1
"Noticia falsa","Los relojes de pulsera pueden viajar en el tiempo",0
"Noticia verdadera","Un nuevo descubrimiento en física podría revolucionar la tecnología",1
"Noticia falsa","Los gatos son espías enviados por una civilización alienígena",0
"Noticia verdadera","Se desarrolla un nuevo método para desalinizar agua de mar",1
"Noticia falsa","Los árboles pueden moverse para evitar ser talados",0
